,sentiment
145250,"[{'confidence': 0.56785435397798, 'value': 'neutral'}]"
145252,"[{'confidence': 0.69882464569444, 'value': 'neutral'}]"
145275,"[{'confidence': 0.84721988519194, 'value': 'negative'}]"
145278,"[{'confidence': 0.53102673268771, 'value': 'negative'}]"
145291,"[{'confidence': 0.53360314066305, 'value': 'negative'}]"
145300,"[{'confidence': 0.55830360834889, 'value': 'neutral'}]"
145310,
145333,"[{'confidence': 0.59866613203012, 'value': 'negative'}]"
145335,
145336,"[{'confidence': 0.52554498529996, 'value': 'neutral'}]"
145340,"[{'confidence': 0.81539672327093, 'value': 'positive'}]"
145343,"[{'confidence': 0.6894167763031, 'value': 'negative'}]"
145350,"[{'confidence': 0.7618151300728, 'value': 'neutral'}]"
145372,
145375,"[{'confidence': 0.60085415169497, 'value': 'neutral'}]"
145384,"[{'confidence': 0.62482766980343, 'value': 'neutral'}]"
145404,"[{'confidence': 0.598595733054, 'value': 'negative'}]"
145406,"[{'confidence': 0.7102245135968, 'value': 'negative'}]"
145411,"[{'confidence': 0.72485077471286, 'value': 'negative'}]"
145414,"[{'confidence': 0.53533321748415, 'value': 'negative'}]"
145417,"[{'confidence': 0.5202380479337, 'value': 'neutral'}]"
145426,"[{'confidence': 0.67399901422841, 'value': 'negative'}]"
145428,"[{'confidence': 0.68994092463377, 'value': 'negative'}]"
145430,"[{'confidence': 0.59387434210562, 'value': 'negative'}]"
145439,"[{'confidence': 0.65634096112783, 'value': 'positive'}]"
145459,"[{'confidence': 0.53647176760232, 'value': 'neutral'}]"
145472,"[{'confidence': 0.62691621859194, 'value': 'neutral'}]"
145476,"[{'confidence': 0.64122187255966, 'value': 'neutral'}]"
145480,
145481,"[{'confidence': 0.50980697687701, 'value': 'neutral'}]"
145482,"[{'confidence': 0.55635432944421, 'value': 'neutral'}]"
145489,"[{'confidence': 0.6393788538198, 'value': 'positive'}]"
145505,"[{'confidence': 0.66257595378472, 'value': 'neutral'}]"
145516,"[{'confidence': 0.85166531594229, 'value': 'negative'}]"
145517,"[{'confidence': 0.5652971849229, 'value': 'negative'}]"
145521,"[{'confidence': 0.58474565877528, 'value': 'negative'}]"
145525,"[{'confidence': 0.52351165000313, 'value': 'negative'}]"
145528,"[{'confidence': 0.67804719087868, 'value': 'negative'}]"
145534,"[{'confidence': 0.58790271654752, 'value': 'negative'}]"
145542,"[{'confidence': 0.64401221971547, 'value': 'negative'}]"
145543,
145563,"[{'confidence': 0.52554498529996, 'value': 'neutral'}]"
145565,"[{'confidence': 0.84409111207048, 'value': 'positive'}]"
145566,"[{'confidence': 0.84029090413663, 'value': 'negative'}]"
145568,
145574,"[{'confidence': 0.5454218820631, 'value': 'negative'}]"
145581,
145585,
145590,"[{'confidence': 0.55021488225621, 'value': 'neutral'}]"
145595,"[{'confidence': 0.8477405304663, 'value': 'negative'}]"
145598,"[{'confidence': 0.58222804514482, 'value': 'neutral'}]"
145602,"[{'confidence': 0.78087025702983, 'value': 'negative'}]"
145603,
145605,"[{'confidence': 0.64441102138061, 'value': 'negative'}]"
145608,"[{'confidence': 0.86292642602896, 'value': 'negative'}]"
145611,"[{'confidence': 0.57182962831218, 'value': 'neutral'}]"
145623,"[{'confidence': 0.51094955555602, 'value': 'negative'}]"
145627,"[{'confidence': 0.84806507893546, 'value': 'negative'}]"
145628,"[{'confidence': 0.59239214754195, 'value': 'neutral'}]"
145635,"[{'confidence': 0.51328544512008, 'value': 'negative'}]"
145636,"[{'confidence': 0.52554498529996, 'value': 'neutral'}]"
145643,
145644,"[{'confidence': 0.50262470008233, 'value': 'neutral'}]"
145645,"[{'confidence': 0.73628032476583, 'value': 'negative'}]"
145647,
145649,"[{'confidence': 0.50882321057181, 'value': 'neutral'}]"
145654,"[{'confidence': 0.60912369711894, 'value': 'negative'}]"
145659,"[{'confidence': 0.58495523590963, 'value': 'negative'}]"
145662,
145663,
145664,"[{'confidence': 0.84486741438666, 'value': 'negative'}]"
145669,"[{'confidence': 0.5205328992475, 'value': 'negative'}]"
145672,"[{'confidence': 0.6330965885873, 'value': 'negative'}]"
145673,
145677,"[{'confidence': 0.53998396998312, 'value': 'neutral'}]"
145680,"[{'confidence': 0.5471501957758, 'value': 'neutral'}]"
145681,"[{'confidence': 0.55855094813618, 'value': 'neutral'}]"
145687,"[{'confidence': 0.70648473499097, 'value': 'neutral'}]"
145702,"[{'confidence': 0.60758899313135, 'value': 'neutral'}]"
145707,"[{'confidence': 0.50716883227168, 'value': 'negative'}]"
145709,"[{'confidence': 0.5166947232018, 'value': 'neutral'}]"
145715,"[{'confidence': 0.55449748387233, 'value': 'negative'}]"
145720,
145724,"[{'confidence': 0.80161529600621, 'value': 'negative'}]"
145727,
145728,"[{'confidence': 0.59358330301195, 'value': 'negative'}]"
145729,
145734,"[{'confidence': 0.51931697846522, 'value': 'negative'}]"
145738,"[{'confidence': 0.64951550674019, 'value': 'neutral'}]"
145744,"[{'confidence': 0.64190070955957, 'value': 'neutral'}]"
145750,
145753,"[{'confidence': 0.5550535418168, 'value': 'neutral'}]"
145755,"[{'confidence': 0.56961976397062, 'value': 'neutral'}]"
145756,"[{'confidence': 0.76342856051271, 'value': 'positive'}]"
145763,"[{'confidence': 0.64938855612274, 'value': 'neutral'}]"
145764,
145770,"[{'confidence': 0.63448666553165, 'value': 'neutral'}]"
145771,"[{'confidence': 0.54276663645704, 'value': 'negative'}]"
145772,"[{'confidence': 0.56892322386711, 'value': 'negative'}]"
145778,
145784,"[{'confidence': 0.61918550993527, 'value': 'negative'}]"
145785,"[{'confidence': 0.58243078355356, 'value': 'negative'}]"
145787,"[{'confidence': 0.6921436870099, 'value': 'neutral'}]"
145792,"[{'confidence': 0.53481071819985, 'value': 'neutral'}]"
145801,"[{'confidence': 0.70702725388251, 'value': 'neutral'}]"
145804,
145812,"[{'confidence': 0.69469219061123, 'value': 'neutral'}]"
145823,"[{'confidence': 0.70630764349043, 'value': 'negative'}]"
145832,"[{'confidence': 0.52148866833314, 'value': 'neutral'}]"
145833,"[{'confidence': 0.51729411092381, 'value': 'negative'}]"
145840,"[{'confidence': 0.72247243367717, 'value': 'negative'}]"
145841,"[{'confidence': 0.63558542585359, 'value': 'neutral'}]"
145842,"[{'confidence': 0.5964040641542, 'value': 'neutral'}]"
145843,"[{'confidence': 0.60408147261656, 'value': 'neutral'}]"
145844,
145848,"[{'confidence': 0.51107282167302, 'value': 'neutral'}]"
145849,
145850,"[{'confidence': 0.52167134489209, 'value': 'negative'}]"
145851,
145853,"[{'confidence': 0.67612434097444, 'value': 'neutral'}]"
145854,
145855,"[{'confidence': 0.7347835237158, 'value': 'neutral'}]"
145857,"[{'confidence': 0.65310365208859, 'value': 'negative'}]"
145860,
145861,"[{'confidence': 0.64962554164856, 'value': 'negative'}]"
145863,"[{'confidence': 0.59457648024228, 'value': 'neutral'}]"
145865,"[{'confidence': 0.63235080873369, 'value': 'neutral'}]"
145866,"[{'confidence': 0.80565220540794, 'value': 'neutral'}]"
145871,"[{'confidence': 0.62173771682447, 'value': 'negative'}]"
145878,"[{'confidence': 0.78503757858625, 'value': 'positive'}]"
145880,
145887,
145892,
145893,"[{'confidence': 0.61102819018409, 'value': 'negative'}]"
145906,"[{'confidence': 0.50825363189592, 'value': 'negative'}]"
145909,
145911,
145939,"[{'confidence': 0.8732854751319, 'value': 'negative'}]"
145968,"[{'confidence': 0.52269017063183, 'value': 'negative'}]"
145970,
146005,"[{'confidence': 0.71085805055158, 'value': 'negative'}]"
146034,"[{'confidence': 0.58362876409584, 'value': 'negative'}]"
146068,"[{'confidence': 0.57000015314238, 'value': 'negative'}]"
146077,"[{'confidence': 0.56392096659725, 'value': 'negative'}]"
146081,"[{'confidence': 0.5744799991705, 'value': 'neutral'}]"
146099,
146105,"[{'confidence': 0.59206527342172, 'value': 'neutral'}]"
146135,"[{'confidence': 0.64930213009418, 'value': 'negative'}]"
146180,"[{'confidence': 0.81440108731991, 'value': 'negative'}]"
146184,"[{'confidence': 0.64201682083022, 'value': 'negative'}]"
146214,"[{'confidence': 0.62693488374549, 'value': 'negative'}]"
146219,"[{'confidence': 0.67179471274613, 'value': 'positive'}]"
146223,"[{'confidence': 0.58122570028166, 'value': 'positive'}]"
146241,"[{'confidence': 0.58573846773522, 'value': 'negative'}]"
146345,"[{'confidence': 0.59040200420704, 'value': 'positive'}]"
146363,
146386,"[{'confidence': 0.64643763447658, 'value': 'negative'}]"
146388,"[{'confidence': 0.56167835400255, 'value': 'neutral'}]"
146405,"[{'confidence': 0.57388658943829, 'value': 'neutral'}]"
146444,"[{'confidence': 0.51909465465838, 'value': 'negative'}]"
146447,"[{'confidence': 0.53854118800165, 'value': 'neutral'}]"
146451,"[{'confidence': 0.87063323881162, 'value': 'negative'}]"
146454,
146469,
146473,"[{'confidence': 0.7818902717176, 'value': 'neutral'}]"
146484,"[{'confidence': 0.58727370376932, 'value': 'neutral'}]"
146487,"[{'confidence': 0.66938578568225, 'value': 'negative'}]"
146491,
146493,"[{'confidence': 0.5334435023146, 'value': 'neutral'}]"
146496,"[{'confidence': 0.66885371134438, 'value': 'neutral'}]"
146498,"[{'confidence': 0.63504796783073, 'value': 'negative'}]"
146499,"[{'confidence': 0.59004802152591, 'value': 'negative'}]"
146502,"[{'confidence': 0.61929887811231, 'value': 'negative'}]"
146505,
146511,"[{'confidence': 0.59317130069216, 'value': 'negative'}]"
146519,"[{'confidence': 0.64781402668808, 'value': 'negative'}]"
146538,"[{'confidence': 0.74825048384161, 'value': 'negative'}]"
146551,"[{'confidence': 0.62688636297518, 'value': 'positive'}]"
146555,"[{'confidence': 0.72928118236726, 'value': 'negative'}]"
146558,"[{'confidence': 0.5580386493243, 'value': 'negative'}]"
146561,"[{'confidence': 0.59460692356922, 'value': 'negative'}]"
146564,"[{'confidence': 0.54890773846365, 'value': 'negative'}]"
146577,"[{'confidence': 0.51908255708243, 'value': 'neutral'}]"
146582,
146586,"[{'confidence': 0.73889272605429, 'value': 'negative'}]"
146587,"[{'confidence': 0.50314640298223, 'value': 'neutral'}]"
146591,"[{'confidence': 0.64378821809388, 'value': 'neutral'}]"
146601,"[{'confidence': 0.72567487129353, 'value': 'neutral'}]"
146605,"[{'confidence': 0.58623230693364, 'value': 'neutral'}]"
146609,"[{'confidence': 0.67113434312236, 'value': 'negative'}]"
146615,"[{'confidence': 0.50409305271608, 'value': 'positive'}]"
146625,
146629,
146631,"[{'confidence': 0.54464233745473, 'value': 'neutral'}]"
146634,"[{'confidence': 0.62058256743323, 'value': 'neutral'}]"
146642,"[{'confidence': 0.72786910623593, 'value': 'neutral'}]"
146648,"[{'confidence': 0.67910301922684, 'value': 'negative'}]"
146650,"[{'confidence': 0.64140795355038, 'value': 'negative'}]"
146673,"[{'confidence': 0.60144633631483, 'value': 'neutral'}]"
146674,
146685,"[{'confidence': 0.55127417419729, 'value': 'neutral'}]"
146698,"[{'confidence': 0.6275606091959, 'value': 'neutral'}]"
146705,"[{'confidence': 0.70649176735784, 'value': 'neutral'}]"
146799,"[{'confidence': 0.56435954239962, 'value': 'neutral'}]"
146800,"[{'confidence': 0.69585622193688, 'value': 'negative'}]"
146809,"[{'confidence': 0.62601058993882, 'value': 'negative'}]"
146820,"[{'confidence': 0.52691478936417, 'value': 'neutral'}]"
146834,"[{'confidence': 0.72435348907148, 'value': 'negative'}]"
146884,"[{'confidence': 0.84920383118503, 'value': 'positive'}]"
146901,"[{'confidence': 0.52716541055413, 'value': 'negative'}]"
146903,
146927,
146943,"[{'confidence': 0.83095633838749, 'value': 'negative'}]"
146966,"[{'confidence': 0.56181559970808, 'value': 'neutral'}]"
146978,
146982,
146998,"[{'confidence': 0.77342343970286, 'value': 'negative'}]"
147006,"[{'confidence': 0.66873746989303, 'value': 'negative'}]"
147022,
147075,"[{'confidence': 0.59148902391085, 'value': 'negative'}]"
147080,"[{'confidence': 0.61261594503279, 'value': 'neutral'}]"
147108,"[{'confidence': 0.70848446836161, 'value': 'neutral'}]"
147112,"[{'confidence': 0.57156543841934, 'value': 'neutral'}]"
147138,"[{'confidence': 0.84796499857798, 'value': 'negative'}]"
147159,"[{'confidence': 0.56280302159883, 'value': 'negative'}]"
147165,"[{'confidence': 0.83671528491664, 'value': 'negative'}]"
147183,"[{'confidence': 0.64235949922014, 'value': 'negative'}]"
147257,"[{'confidence': 0.59911151793473, 'value': 'negative'}]"
147260,"[{'confidence': 0.69008075932712, 'value': 'negative'}]"
147269,"[{'confidence': 0.76587290711397, 'value': 'neutral'}]"
147300,"[{'confidence': 0.58208161480921, 'value': 'negative'}]"
147333,"[{'confidence': 0.55194838256812, 'value': 'neutral'}]"
147336,
147405,"[{'confidence': 0.52554498529996, 'value': 'neutral'}]"
147432,"[{'confidence': 0.65422737941989, 'value': 'negative'}]"
147435,"[{'confidence': 0.80943423855512, 'value': 'negative'}]"
147446,"[{'confidence': 0.84738653314804, 'value': 'negative'}]"
147501,"[{'confidence': 0.56204818030957, 'value': 'negative'}]"
147514,"[{'confidence': 0.52554498529996, 'value': 'neutral'}]"
147549,"[{'confidence': 0.61202932440663, 'value': 'negative'}]"
147573,"[{'confidence': 0.83734548177336, 'value': 'negative'}]"
147595,"[{'confidence': 0.73031283314007, 'value': 'negative'}]"
147616,"[{'confidence': 0.6123383132441, 'value': 'negative'}]"
147630,
147641,"[{'confidence': 0.52564228951498, 'value': 'neutral'}]"
147643,"[{'confidence': 0.66597413054043, 'value': 'positive'}]"
147644,
147679,"[{'confidence': 0.57479767852174, 'value': 'positive'}]"
147680,"[{'confidence': 0.53990859667962, 'value': 'negative'}]"
147688,
147692,
147695,"[{'confidence': 0.9039817440153, 'value': 'positive'}]"
147699,"[{'confidence': 0.52635943721605, 'value': 'neutral'}]"
147701,"[{'confidence': 0.54764812451481, 'value': 'negative'}]"
147703,"[{'confidence': 0.52325375234579, 'value': 'negative'}]"
147715,"[{'confidence': 0.50022821769535, 'value': 'negative'}]"
147731,"[{'confidence': 0.68108485990746, 'value': 'neutral'}]"
147776,"[{'confidence': 0.52745205259972, 'value': 'neutral'}]"
147787,"[{'confidence': 0.68728380990068, 'value': 'negative'}]"
147797,"[{'confidence': 0.63636064177247, 'value': 'neutral'}]"
147809,"[{'confidence': 0.64092319705964, 'value': 'negative'}]"
147815,"[{'confidence': 0.66847466570327, 'value': 'neutral'}]"
147829,
147841,"[{'confidence': 0.83425783647409, 'value': 'positive'}]"
147842,"[{'confidence': 0.68541967638447, 'value': 'neutral'}]"
147846,
147850,"[{'confidence': 0.51622576846911, 'value': 'negative'}]"
147863,"[{'confidence': 0.62833118689644, 'value': 'neutral'}]"
147879,"[{'confidence': 0.55368387919042, 'value': 'negative'}]"
147887,"[{'confidence': 0.59015744430481, 'value': 'positive'}]"
147899,"[{'confidence': 0.85955071840258, 'value': 'negative'}]"
147911,"[{'confidence': 0.80982405184126, 'value': 'negative'}]"
147915,"[{'confidence': 0.86649882303364, 'value': 'negative'}]"
147922,"[{'confidence': 0.5102190372531, 'value': 'neutral'}]"
147927,"[{'confidence': 0.84770172487269, 'value': 'positive'}]"
147932,"[{'confidence': 0.82982694474112, 'value': 'negative'}]"
147945,"[{'confidence': 0.66356653616699, 'value': 'neutral'}]"
147954,"[{'confidence': 0.68142432554212, 'value': 'negative'}]"
147959,"[{'confidence': 0.67030973393898, 'value': 'positive'}]"
147963,"[{'confidence': 0.61378383109328, 'value': 'negative'}]"
147967,"[{'confidence': 0.64461476043294, 'value': 'negative'}]"
147973,"[{'confidence': 0.61530845435056, 'value': 'neutral'}]"
147975,"[{'confidence': 0.50563175313372, 'value': 'positive'}]"
147989,"[{'confidence': 0.53198420295034, 'value': 'neutral'}]"
147992,"[{'confidence': 0.68290518933928, 'value': 'negative'}]"
148001,
148010,"[{'confidence': 0.54659384537522, 'value': 'neutral'}]"
148011,"[{'confidence': 0.62111018936588, 'value': 'neutral'}]"
148022,"[{'confidence': 0.65880416819841, 'value': 'neutral'}]"
148024,"[{'confidence': 0.62056534901168, 'value': 'negative'}]"
148026,"[{'confidence': 0.54662828302535, 'value': 'negative'}]"
148047,"[{'confidence': 0.70356118188443, 'value': 'negative'}]"
148081,"[{'confidence': 0.79789984094103, 'value': 'negative'}]"
148082,
148092,
148095,"[{'confidence': 0.68768774407258, 'value': 'negative'}]"
148104,"[{'confidence': 0.58870607102345, 'value': 'neutral'}]"
148106,"[{'confidence': 0.77259259472069, 'value': 'negative'}]"
148113,
148118,"[{'confidence': 0.695043016154, 'value': 'neutral'}]"
148120,"[{'confidence': 0.58357776860362, 'value': 'negative'}]"
148123,
148130,
148131,"[{'confidence': 0.60145221557878, 'value': 'neutral'}]"
148134,"[{'confidence': 0.59905499194186, 'value': 'negative'}]"
148135,"[{'confidence': 0.5856468289795, 'value': 'neutral'}]"
148141,"[{'confidence': 0.59643477880793, 'value': 'neutral'}]"
148144,"[{'confidence': 0.71420252346967, 'value': 'neutral'}]"
148190,"[{'confidence': 0.75986301473115, 'value': 'neutral'}]"
148202,"[{'confidence': 0.75676758031095, 'value': 'negative'}]"
148203,"[{'confidence': 0.86726993815321, 'value': 'negative'}]"
148213,"[{'confidence': 0.55953073123264, 'value': 'neutral'}]"
148225,
148226,"[{'confidence': 0.63620256896006, 'value': 'negative'}]"
148234,"[{'confidence': 0.63749963723829, 'value': 'negative'}]"
148244,
148247,
148262,"[{'confidence': 0.61585635119009, 'value': 'neutral'}]"
148276,"[{'confidence': 0.71230435192893, 'value': 'negative'}]"
148293,
148310,"[{'confidence': 0.64326274492574, 'value': 'neutral'}]"
148312,"[{'confidence': 0.63096755485742, 'value': 'negative'}]"
148321,"[{'confidence': 0.69531887640931, 'value': 'neutral'}]"
148337,"[{'confidence': 0.83952504934058, 'value': 'positive'}]"
148339,
148346,"[{'confidence': 0.58528320814411, 'value': 'neutral'}]"
148358,"[{'confidence': 0.74079679639993, 'value': 'negative'}]"
148377,"[{'confidence': 0.70093637713008, 'value': 'neutral'}]"
148392,"[{'confidence': 0.60086915782193, 'value': 'negative'}]"
148396,"[{'confidence': 0.77878416483715, 'value': 'negative'}]"
148414,
148438,"[{'confidence': 0.52098573702545, 'value': 'negative'}]"
148466,"[{'confidence': 0.57496372942507, 'value': 'negative'}]"
148479,"[{'confidence': 0.73463826504901, 'value': 'positive'}]"
148488,"[{'confidence': 0.57751994328689, 'value': 'negative'}]"
148513,"[{'confidence': 0.58509349613114, 'value': 'neutral'}]"
148517,"[{'confidence': 0.59527199746586, 'value': 'positive'}]"
148518,"[{'confidence': 0.55405986806286, 'value': 'negative'}]"
148540,"[{'confidence': 0.66915732595669, 'value': 'neutral'}]"
148565,"[{'confidence': 0.51568115969451, 'value': 'neutral'}]"
148580,"[{'confidence': 0.52625971041215, 'value': 'positive'}]"
148590,"[{'confidence': 0.53283816954112, 'value': 'neutral'}]"
148594,"[{'confidence': 0.81718552632777, 'value': 'negative'}]"
148602,"[{'confidence': 0.54737031049199, 'value': 'neutral'}]"
148611,"[{'confidence': 0.68813936987278, 'value': 'neutral'}]"
148612,"[{'confidence': 0.89967411719248, 'value': 'positive'}]"
148657,"[{'confidence': 0.67669624035283, 'value': 'neutral'}]"
148677,"[{'confidence': 0.61474776214369, 'value': 'negative'}]"
148689,"[{'confidence': 0.51697169688327, 'value': 'negative'}]"
148693,"[{'confidence': 0.50842261116385, 'value': 'negative'}]"
148696,"[{'confidence': 0.52540278939368, 'value': 'negative'}]"
148723,"[{'confidence': 0.66098469649663, 'value': 'negative'}]"
148741,"[{'confidence': 0.60884064402595, 'value': 'negative'}]"
148798,"[{'confidence': 0.6824018421252, 'value': 'neutral'}]"
148803,"[{'confidence': 0.55528021190638, 'value': 'negative'}]"
148832,"[{'confidence': 0.82044893788355, 'value': 'positive'}]"
148836,"[{'confidence': 0.55808824471599, 'value': 'neutral'}]"
148855,"[{'confidence': 0.58159487736078, 'value': 'negative'}]"
148857,
148871,"[{'confidence': 0.51661016044704, 'value': 'neutral'}]"
148878,"[{'confidence': 0.69566607925435, 'value': 'negative'}]"
148881,"[{'confidence': 0.64907795210984, 'value': 'neutral'}]"
148912,
148927,"[{'confidence': 0.64686506176034, 'value': 'negative'}]"
148928,"[{'confidence': 0.51352315586631, 'value': 'negative'}]"
148929,"[{'confidence': 0.70643626830633, 'value': 'negative'}]"
148964,
148970,"[{'confidence': 0.84831785968974, 'value': 'negative'}]"
148983,
148994,"[{'confidence': 0.73636919872684, 'value': 'negative'}]"
149014,
149057,"[{'confidence': 0.80338752486847, 'value': 'negative'}]"
149085,"[{'confidence': 0.51420556326027, 'value': 'neutral'}]"
149091,
149097,"[{'confidence': 0.56970139038737, 'value': 'negative'}]"
149100,"[{'confidence': 0.77100366018551, 'value': 'negative'}]"
149104,"[{'confidence': 0.95184099860697, 'value': 'positive'}]"
149118,"[{'confidence': 0.56951492989312, 'value': 'neutral'}]"
149153,"[{'confidence': 0.59618867943401, 'value': 'negative'}]"
149159,"[{'confidence': 0.5890519807759, 'value': 'negative'}]"
149228,"[{'confidence': 0.55041424858088, 'value': 'neutral'}]"
149229,"[{'confidence': 0.53540016538046, 'value': 'negative'}]"
149242,"[{'confidence': 0.72020650341731, 'value': 'negative'}]"
149245,"[{'confidence': 0.57983921613487, 'value': 'neutral'}]"
149258,"[{'confidence': 0.54801106469042, 'value': 'negative'}]"
149262,"[{'confidence': 0.51041103027835, 'value': 'negative'}]"
149265,"[{'confidence': 0.58453542506598, 'value': 'neutral'}]"
149276,"[{'confidence': 0.52554498529996, 'value': 'neutral'}]"
149302,"[{'confidence': 0.53979224250562, 'value': 'negative'}]"
149306,"[{'confidence': 0.89494913616218, 'value': 'positive'}]"
149307,"[{'confidence': 0.53233485847025, 'value': 'neutral'}]"
149309,"[{'confidence': 0.50001537728248, 'value': 'positive'}]"
149316,"[{'confidence': 0.75436996473863, 'value': 'negative'}]"
149341,"[{'confidence': 0.58998461413937, 'value': 'negative'}]"
149345,"[{'confidence': 0.51645243524292, 'value': 'negative'}]"
149412,"[{'confidence': 0.56319124534102, 'value': 'neutral'}]"
149413,"[{'confidence': 0.5978826477654, 'value': 'negative'}]"
149416,
149423,
149425,"[{'confidence': 0.50580818162692, 'value': 'negative'}]"
149435,"[{'confidence': 0.7341899923647, 'value': 'negative'}]"
149437,"[{'confidence': 0.50269151257228, 'value': 'negative'}]"
149448,"[{'confidence': 0.61046290202569, 'value': 'neutral'}]"
149472,"[{'confidence': 0.52554498529996, 'value': 'neutral'}]"
149475,"[{'confidence': 0.74795562971331, 'value': 'neutral'}]"
149481,"[{'confidence': 0.70126669754793, 'value': 'negative'}]"
149491,"[{'confidence': 0.59459118782494, 'value': 'neutral'}]"
149507,
149523,"[{'confidence': 0.67091178487399, 'value': 'negative'}]"
149527,
149534,"[{'confidence': 0.6304232924615, 'value': 'negative'}]"
149539,
149548,"[{'confidence': 0.86836416119897, 'value': 'positive'}]"
149549,"[{'confidence': 0.54789084167782, 'value': 'neutral'}]"
149590,"[{'confidence': 0.67560480978004, 'value': 'neutral'}]"
149614,"[{'confidence': 0.69747073059539, 'value': 'negative'}]"
149624,
149627,"[{'confidence': 0.84573835175458, 'value': 'negative'}]"
149631,
149640,"[{'confidence': 0.64758204437029, 'value': 'negative'}]"
149663,"[{'confidence': 0.57057804903274, 'value': 'negative'}]"
149678,"[{'confidence': 0.55149535627066, 'value': 'negative'}]"
149684,
149694,"[{'confidence': 0.54287703070182, 'value': 'negative'}]"
149695,"[{'confidence': 0.73340494379059, 'value': 'negative'}]"
149700,"[{'confidence': 0.5826960362517, 'value': 'negative'}]"
149701,"[{'confidence': 0.60893338949506, 'value': 'neutral'}]"
149707,"[{'confidence': 0.89765698079538, 'value': 'positive'}]"
149710,
149715,"[{'confidence': 0.67273503784276, 'value': 'neutral'}]"
149721,"[{'confidence': 0.55930806004126, 'value': 'neutral'}]"
149723,
149728,"[{'confidence': 0.50590442484839, 'value': 'negative'}]"
149769,
149771,"[{'confidence': 0.58625418113916, 'value': 'neutral'}]"
149772,"[{'confidence': 0.51129323356761, 'value': 'neutral'}]"
149788,"[{'confidence': 0.75417918432906, 'value': 'negative'}]"
149792,"[{'confidence': 0.61140011631879, 'value': 'negative'}]"
149803,"[{'confidence': 0.5490830665599, 'value': 'neutral'}]"
149808,"[{'confidence': 0.53553092618906, 'value': 'neutral'}]"
149813,"[{'confidence': 0.54998837852585, 'value': 'negative'}]"
149841,"[{'confidence': 0.60343651652422, 'value': 'negative'}]"
149845,"[{'confidence': 0.59700858736899, 'value': 'neutral'}]"
149846,"[{'confidence': 0.66736345913776, 'value': 'negative'}]"
149854,"[{'confidence': 0.59209523525423, 'value': 'negative'}]"
149856,
149861,
149866,"[{'confidence': 0.54754645296516, 'value': 'neutral'}]"
149883,"[{'confidence': 0.51731085358528, 'value': 'neutral'}]"
149890,"[{'confidence': 0.56856954594805, 'value': 'negative'}]"
149912,
149931,"[{'confidence': 0.63184660943591, 'value': 'negative'}]"
149932,
149940,"[{'confidence': 0.61906670139808, 'value': 'negative'}]"
149942,"[{'confidence': 0.6025192128981, 'value': 'positive'}]"
149958,"[{'confidence': 0.52680437543822, 'value': 'neutral'}]"
149966,"[{'confidence': 0.88158226562817, 'value': 'positive'}]"
149970,"[{'confidence': 0.63230895421306, 'value': 'negative'}]"
149992,"[{'confidence': 0.71473533401391, 'value': 'negative'}]"
149997,"[{'confidence': 0.87288279062808, 'value': 'positive'}]"
150000,"[{'confidence': 0.75312692731942, 'value': 'negative'}]"
150035,
150038,"[{'confidence': 0.52958708122525, 'value': 'neutral'}]"
150047,"[{'confidence': 0.56193810784787, 'value': 'neutral'}]"
150060,
150064,"[{'confidence': 0.51196855803995, 'value': 'neutral'}]"
150066,"[{'confidence': 0.62668443584648, 'value': 'negative'}]"
150077,"[{'confidence': 0.58901845145666, 'value': 'negative'}]"
150094,"[{'confidence': 0.59259443387695, 'value': 'negative'}]"
150103,
150105,"[{'confidence': 0.57846372816882, 'value': 'negative'}]"
150112,"[{'confidence': 0.53559160979529, 'value': 'neutral'}]"
150117,"[{'confidence': 0.52473004213161, 'value': 'negative'}]"
150138,
150150,"[{'confidence': 0.70037722039152, 'value': 'neutral'}]"
150157,"[{'confidence': 0.60136664927786, 'value': 'negative'}]"
150192,"[{'confidence': 0.74473482972376, 'value': 'negative'}]"
150220,"[{'confidence': 0.55096053048322, 'value': 'neutral'}]"
150247,"[{'confidence': 0.81274461292155, 'value': 'neutral'}]"
150251,"[{'confidence': 0.6852735360788, 'value': 'neutral'}]"
150254,"[{'confidence': 0.57162093781225, 'value': 'positive'}]"
150261,"[{'confidence': 0.50198255500079, 'value': 'neutral'}]"
150269,"[{'confidence': 0.56812698733878, 'value': 'neutral'}]"
150282,
150292,"[{'confidence': 0.62073600077805, 'value': 'negative'}]"
150294,"[{'confidence': 0.63311928689579, 'value': 'negative'}]"
150297,"[{'confidence': 0.53075064375255, 'value': 'negative'}]"
150307,"[{'confidence': 0.59578662297956, 'value': 'neutral'}]"
150316,"[{'confidence': 0.54281335390721, 'value': 'negative'}]"
150330,"[{'confidence': 0.54148493338766, 'value': 'neutral'}]"
150340,
150343,"[{'confidence': 0.70648473499097, 'value': 'neutral'}]"
150351,"[{'confidence': 0.87328392659013, 'value': 'negative'}]"
150362,"[{'confidence': 0.66030567057588, 'value': 'negative'}]"
150363,"[{'confidence': 0.55757969371634, 'value': 'negative'}]"
150373,
150382,"[{'confidence': 0.69108420452222, 'value': 'neutral'}]"
150389,"[{'confidence': 0.5724145309, 'value': 'neutral'}]"
150394,"[{'confidence': 0.6012937823417, 'value': 'negative'}]"
150396,"[{'confidence': 0.6054283383721, 'value': 'negative'}]"
150410,"[{'confidence': 0.7843069359625, 'value': 'negative'}]"
